file_id,species,shape,mean,std,snr_db
ML166449,american_bullfrog,"(64, 431)",-35.718433644700355,10.950025098650132,0.0
ML166450,american_bullfrog,"(64, 431)",-37.95518882349652,11.492722360355984,0.0
ML166451,american_bullfrog,"(64, 431)",-46.10539441806396,16.348384780444192,0.0
ML166452,american_bullfrog,"(64, 431)",-43.71124070848224,17.19401462625096,0.0
ML166453,american_bullfrog,"(64, 431)",-42.07298816889179,16.148455276890406,0.0
ML166454,american_bullfrog,"(64, 431)",-41.27612869291114,15.049864352655778,0.0
ML166455,american_bullfrog,"(64, 431)",-40.515343733685064,17.01948993205984,0.0
ML166456,american_bullfrog,"(64, 431)",-55.079907664255586,11.72952146106082,0.0
ML166457,american_bullfrog,"(64, 431)",-44.11561988646774,5.505078146671574,0.0
ML168994,american_bullfrog,"(64, 431)",-44.25905101295137,9.171856576698909,0.0
ML169722,american_bullfrog,"(64, 431)",-34.79225912797124,19.162905188823885,0.0
ML169723,american_bullfrog,"(64, 431)",-42.3021179877066,17.36831834240137,0.0
ML169724,american_bullfrog,"(64, 431)",-48.82134121148188,14.02511348157912,0.0
ML176270,american_bullfrog,"(64, 431)",-40.63308872344737,15.50324289746083,0.0
ML182025,american_bullfrog,"(64, 431)",-36.57465906282174,7.840315714304885,0.0
ML182123,american_bullfrog,"(64, 431)",-36.52102163648384,17.1015536936365,0.0
ML190940,american_bullfrog,"(64, 431)",-38.36623732813066,9.985157880153512,0.0
ML190984,american_bullfrog,"(64, 431)",-54.69626064802544,8.33610749132542,0.0
ML197092,american_bullfrog,"(64, 431)",-23.010859254859994,5.4842490796778565,0.0
ML207049,american_bullfrog,"(64, 431)",-32.04632301063314,7.865200239951742,0.0
ML207548,american_bullfrog,"(64, 431)",-52.261976890559815,13.55715053557964,0.0
ML207935,american_bullfrog,"(64, 431)",-47.37827207217222,20.71212401903501,0.0
ML214955,american_bullfrog,"(64, 431)",-49.07974719838725,20.822094068361153,0.0
ML217637,american_bullfrog,"(64, 431)",-57.79576468771959,9.338798109627582,0.0
ML223226,american_bullfrog,"(64, 431)",-27.613910582115366,8.66593294837038,0.0
ML224657,american_bullfrog,"(64, 431)",-49.35203201947799,8.184666475579027,0.0
ML305838,american_bullfrog,"(64, 431)",-61.875679184365026,22.207409099573223,0.0
ML38820,american_bullfrog,"(64, 431)",-40.263600675903454,8.951093322630502,0.0
ML44552,american_bullfrog,"(64, 431)",-55.438420723959496,10.135681956867158,0.0
ML506567291,american_bullfrog,"(64, 431)",-34.162823975864114,11.215508234007537,0.0
ML515997,american_bullfrog,"(64, 431)",-28.51670208194762,10.661140165374986,0.0
ML515999,american_bullfrog,"(64, 431)",-30.339793528799667,9.691295301805063,0.0
ML53182,american_bullfrog,"(64, 431)",-26.859647711458035,12.105434183796989,0.0
ML537362,american_bullfrog,"(64, 431)",-23.375570082177003,9.927430512811425,0.0
ML56763,american_bullfrog,"(64, 431)",-32.696332915338175,8.432098031365697,0.0
ML56764,american_bullfrog,"(64, 431)",-34.16546411409524,13.742168424626989,0.0
ML56765,american_bullfrog,"(64, 431)",-18.786503358169302,7.932722405803861,0.0
ML56766,american_bullfrog,"(64, 431)",-19.18114013627621,4.546088115703142,0.0
ML56767,american_bullfrog,"(64, 431)",-36.197564870533974,8.435504904725699,0.0
ML60450,american_bullfrog,"(64, 431)",-37.79695182264266,8.579575816986969,0.0
ML631931107,american_bullfrog,"(64, 431)",-36.60629267022532,9.952381046983355,0.0
ML635010771,american_bullfrog,"(64, 431)",-51.42126705374768,25.038710644190832,0.0
ML635243949,american_bullfrog,"(64, 431)",-66.04376184577316,20.406926842170385,0.0
ML635289047,american_bullfrog,"(64, 431)",-74.72423459962874,16.148129597810307,0.0
ML635751089,american_bullfrog,"(64, 431)",-39.49779334795724,9.914908376968313,0.0
ML635850760,american_bullfrog,"(64, 431)",-32.067058172759765,8.044033533827735,0.0
ML635850761,american_bullfrog,"(64, 431)",-70.87538539645912,19.997363559420325,0.0
ML635850762,american_bullfrog,"(64, 431)",-36.930082222321474,8.859958889247475,0.0
ML635913049,american_bullfrog,"(64, 431)",-52.63169728758855,18.444147509676192,0.0
ML635913331,american_bullfrog,"(64, 431)",-23.025653005640287,4.665563656889725,0.0
ML636097123,american_bullfrog,"(64, 431)",-32.68994136254915,10.984673129826465,0.0
ML636470086,american_bullfrog,"(64, 431)",-28.3847697605044,8.855309951538164,0.0
ML636537335,american_bullfrog,"(64, 431)",-32.83072980073239,6.011438361024199,0.0
ML636668015,american_bullfrog,"(64, 431)",-37.34387368012194,6.986672962489193,0.0
ML636778722,american_bullfrog,"(64, 431)",0.0,0.0,0.0
ML636850112,american_bullfrog,"(64, 431)",-72.17120361590884,18.469125350093545,0.0
ML636893440,american_bullfrog,"(64, 431)",-54.67764444317314,22.329032858012344,0.0
ML636895662,american_bullfrog,"(64, 431)",-72.39273470387796,20.198631184548226,0.0
ML636951373,american_bullfrog,"(64, 431)",-28.737701617215876,8.63736417589877,0.0
ML637199584,american_bullfrog,"(64, 431)",-48.088981303911474,21.46346950694447,0.0
ML637203690,american_bullfrog,"(64, 431)",-21.306262298000938,5.921302870921526,0.0
ML637268706,american_bullfrog,"(64, 431)",-37.51369055096069,8.956062935465326,0.0
ML637330865,american_bullfrog,"(64, 431)",-38.13920772490535,7.095468116793489,0.0
ML637436864,american_bullfrog,"(64, 431)",-36.12617425900601,6.074924252459548,0.0
ML637656503,american_bullfrog,"(64, 431)",-60.48000847384022,23.959376247904736,0.0
ML637801887,american_bullfrog,"(64, 431)",-27.585390043352014,5.4531739198754385,0.0
ML637880043,american_bullfrog,"(64, 431)",-58.81305846686015,24.337115106198695,0.0
ML638207168,american_bullfrog,"(64, 431)",-17.280950974059355,8.542442877357836,0.0
ML638334661,american_bullfrog,"(64, 431)",-69.66410313518999,15.541717919002005,0.0
ML638427553,american_bullfrog,"(64, 431)",-30.029095070129756,9.532590623783245,0.0
ML638774274,american_bullfrog,"(64, 431)",-43.06396419311206,10.277423235843562,0.0
ML638986344,american_bullfrog,"(64, 431)",-76.77337989008828,12.329166170472698,0.0
ML639174041,american_bullfrog,"(64, 431)",-32.892552823519765,9.45159218301985,0.0
ML639251875,american_bullfrog,"(64, 431)",-38.50671056360698,12.271106770371437,0.0
ML639661483,american_bullfrog,"(64, 431)",-49.811788783618304,21.194426170215806,0.0
ML639821741,american_bullfrog,"(64, 431)",-33.371373551558456,7.929042214209046,0.0
ML640310924,american_bullfrog,"(64, 431)",-34.057281544669735,8.729065964991445,0.0
ML640526452,american_bullfrog,"(64, 431)",-54.01644515211579,23.03001566257509,0.0
ML79082,american_bullfrog,"(64, 431)",-43.06316293919515,14.823109113556406,0.0
XC1001883_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-23.38589629242218,4.052627999544768,0.0
XC1012930_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-40.786390435858145,7.762717961713571,0.0
XC883640_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-25.919375842190814,6.8290783278168155,0.0
XC883676_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-43.467532032050556,6.530903927392358,0.0
XC894001_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-48.53430647487707,26.936325257126228,0.0
XC899237_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-29.578626504059873,7.67500931087727,0.0
XC961812_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-43.318023114255574,11.21491671744839,0.0
XC976730_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-37.36030531425695,9.494006071843462,0.0
XC979345_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-28.371790583234652,9.470108094619624,0.0
XC982097_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,"(64, 431)",-30.989561622007265,8.830816246793548,0.0
125186,american_toad,"(64, 431)",-46.17579419482197,14.929760970457217,0.0
51-American-Toad-call,american_toad,"(64, 431)",-68.90550145499944,17.020434584510344,0.0
American_toad_(Bufo_americanus)_calling,american_toad,"(64, 431)",-48.33591502158105,13.336128870824865,0.0
American_Toad_-_calling,american_toad,"(64, 431)",-42.628514239032974,12.226399448425937,0.0
American_Toad___Bufo_americanus,american_toad,"(64, 431)",-73.82860714943945,15.902734950499934,0.0
American_toad_call,american_toad,"(64, 431)",-61.95166321133378,17.772750407545875,0.0
American_Toad_Calling,american_toad,"(64, 431)",-48.72955947723715,15.262362174312615,0.0
American_toad_calling_sounds,american_toad,"(64, 431)",-55.34681712820469,17.597729707496843,0.0
dlg_ggpd_n200-g2-m1-2003-c3-track-70,american_toad,"(64, 431)",-57.346426538448874,16.587634590758604,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-51,american_toad,"(64, 431)",-71.06840791309516,17.267258602084453,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-72,american_toad,"(64, 431)",-57.373733837581014,16.604438264655514,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-74,american_toad,"(64, 431)",-58.726741148016295,18.296014698904642,0.0
dlg_ggpd_n200-g2-m1-2013-c3-track-76,american_toad,"(64, 431)",-49.56998199245216,17.154850565925344,0.0
ML176113,american_toad,"(64, 431)",-60.27748027405855,17.022439702538797,0.0
ML176165,american_toad,"(64, 431)",-52.67684966184009,18.40848352716094,0.0
ML176166,american_toad,"(64, 431)",-58.461525337118005,17.20733286935908,0.0
ML178993,american_toad,"(64, 431)",-49.40565655209349,17.062461501882744,0.0
ML178994,american_toad,"(64, 431)",-56.24440556284031,16.871372458268862,0.0
ML178995,american_toad,"(64, 431)",-59.78642401797589,14.418200406050644,0.0
ML178996,american_toad,"(64, 431)",-61.786404813110416,11.597301412143992,0.0
ML178997,american_toad,"(64, 431)",-56.290752730174574,16.75569548696821,0.0
ML179004,american_toad,"(64, 431)",-54.13907816805585,16.151931022339895,0.0
ML179005,american_toad,"(64, 431)",-61.27670391547016,15.227852804308093,0.0
ML179010,american_toad,"(64, 431)",-53.44647958549712,16.426817481369664,0.0
ML179012,american_toad,"(64, 431)",-45.51213600031876,11.742582013947766,0.0
ML179013,american_toad,"(64, 431)",-57.3654043686224,14.64367914954295,0.0
ML179014,american_toad,"(64, 431)",-61.80457922242357,15.675099508739384,0.0
ML179015,american_toad,"(64, 431)",-59.04664553356143,16.23082066449633,0.0
ML179016,american_toad,"(64, 431)",-60.216814037265465,15.436587651185404,0.0
ML179017,american_toad,"(64, 431)",-59.44087548837446,13.284400367881807,0.0
ML179018,american_toad,"(64, 431)",-62.27472913324003,13.221068925343943,0.0
ML179020,american_toad,"(64, 431)",-59.28882409269185,15.398721361616431,0.0
ML179021,american_toad,"(64, 431)",-47.74806762128861,19.21253702277279,0.0
ML179022,american_toad,"(64, 431)",-52.22602877878258,16.488669989973026,0.0
ML179117,american_toad,"(64, 431)",-55.22697358199864,15.731064512007473,0.0
ML179120,american_toad,"(64, 431)",-48.519170278843205,16.314842475880727,0.0
ML179124,american_toad,"(64, 431)",-50.902992990516175,11.686527776672596,0.0
ML179126,american_toad,"(64, 431)",-62.87983097049587,12.058537042383946,0.0
ML179127,american_toad,"(64, 431)",-50.96820994872781,12.854377979999331,0.0
ML179128,american_toad,"(64, 431)",-54.1305852414837,14.674575717224716,0.0
ML179129,american_toad,"(64, 431)",-56.32399505318041,16.92995779836438,0.0
ML179145,american_toad,"(64, 431)",-55.58800260567057,14.746200438299553,0.0
ML182017,american_toad,"(64, 431)",-46.22997996681251,14.718655092785598,0.0
ML182018,american_toad,"(64, 431)",-58.43030088344749,12.769763827694446,0.0
ML182019,american_toad,"(64, 431)",-52.548133955512135,15.525768463557354,0.0
ML182054,american_toad,"(64, 431)",-52.0306821443711,17.26136941573292,0.0
ML182055,american_toad,"(64, 431)",-53.656493898679926,16.79159462742648,0.0
ML182189,american_toad,"(64, 431)",-56.19063613945813,16.977834748724415,0.0
ML182191,american_toad,"(64, 431)",-56.84115041954888,16.964531908624064,0.0
ML182192,american_toad,"(64, 431)",-56.81592680164667,17.27224504019523,0.0
ML182196,american_toad,"(64, 431)",-54.16982834888169,17.034819949587963,0.0
ML183605,american_toad,"(64, 431)",-56.0918150501987,15.147841851881838,0.0
ML183625,american_toad,"(64, 431)",-62.04786682236084,15.414696443163171,0.0
ML183626,american_toad,"(64, 431)",-54.755384256073604,15.986081775563543,0.0
ML183627,american_toad,"(64, 431)",-55.91956015342626,16.51745725584948,0.0
ML183628,american_toad,"(64, 431)",-58.33422301222166,16.60082143039541,0.0
ML183629,american_toad,"(64, 431)",-54.38065096604575,15.54037372971679,0.0
ML183630,american_toad,"(64, 431)",-56.05615894081559,16.07435274407427,0.0
ML183631,american_toad,"(64, 431)",-57.24946340545148,14.261010961835723,0.0
ML183683,american_toad,"(64, 431)",-50.72296763399914,17.09463204472297,0.0
ML183684,american_toad,"(64, 431)",-52.61130210919751,17.815726230280077,0.0
ML183695,american_toad,"(64, 431)",-51.272660357735,15.571938206910126,0.0
ML183698,american_toad,"(64, 431)",-54.69089928438796,13.844127114184449,0.0
ML183699,american_toad,"(64, 431)",-57.46894438931256,12.943191847353667,0.0
ML184398,american_toad,"(64, 431)",-50.62231980589177,17.586826672946394,0.0
ML184399,american_toad,"(64, 431)",-49.40499542041611,13.266562977283364,0.0
ML187355,american_toad,"(64, 431)",-52.88664785120852,10.635471485809907,0.0
ML189570,american_toad,"(64, 431)",-57.222436908087985,15.665684926297562,0.0
ML190896,american_toad,"(64, 431)",-48.39114327445246,15.366594938536476,0.0
ML199741,american_toad,"(64, 431)",-48.57290920950559,16.356334513985292,0.0
ML200896,american_toad,"(64, 431)",-58.51147810537411,14.544106559401285,0.0
ML200897,american_toad,"(64, 431)",-51.52094980956783,15.312591746089389,0.0
ML200899,american_toad,"(64, 431)",-48.82097877935439,17.103129640251012,0.0
ML202391,american_toad,"(64, 431)",-47.38455557124797,17.415087353237936,0.0
ML202392,american_toad,"(64, 431)",-42.20754659895001,18.176209031752308,0.0
ML202394,american_toad,"(64, 431)",-42.127724234853154,17.125792836702608,0.0
ML202398,american_toad,"(64, 431)",-43.42955893907359,18.938042919516185,0.0
ML206078,american_toad,"(64, 431)",-37.631115786402795,6.810399026791008,0.0
ML206079,american_toad,"(64, 431)",-37.685749600751635,5.84250718160046,0.0
ML206081,american_toad,"(64, 431)",-40.02269100271632,5.8082513157913445,0.0
ML207065,american_toad,"(64, 431)",-51.19285012335622,12.602431435024503,0.0
ML207066,american_toad,"(64, 431)",-49.17957315744353,12.553354802933717,0.0
ML207067,american_toad,"(64, 431)",-47.17640521994461,14.292587529884967,0.0
ML207069,american_toad,"(64, 431)",-36.234995791744744,10.598920509727082,0.0
ML207070,american_toad,"(64, 431)",-50.98811982917813,12.904233460751282,0.0
ML207071,american_toad,"(64, 431)",-54.84300724204344,15.366245249413288,0.0
ML207072,american_toad,"(64, 431)",-46.082681136417555,13.645911674688644,0.0
ML207648,american_toad,"(64, 431)",-55.61173003790965,15.59178681296199,0.0
ML207649,american_toad,"(64, 431)",-47.25217892782732,15.039308787646892,0.0
ML207650,american_toad,"(64, 431)",-41.309461081837,16.24780790378054,0.0
ML207653,american_toad,"(64, 431)",-56.788455356889145,16.75841144288779,0.0
ML207654,american_toad,"(64, 431)",-45.45492700561708,16.673403758030584,0.0
ML208209,american_toad,"(64, 431)",-37.7722959963393,13.942416910197265,0.0
ML208227,american_toad,"(64, 431)",-42.76127719446982,15.978279392418107,0.0
ML209061,american_toad,"(64, 431)",-38.42652355832871,15.136270560993935,0.0
ML209062,american_toad,"(64, 431)",-40.36622958611308,15.926868129025321,0.0
ML209063,american_toad,"(64, 431)",-40.97466792221551,16.110638879069537,0.0
ML209064,american_toad,"(64, 431)",-36.105666651215465,15.508053083569687,0.0
ML209065,american_toad,"(64, 431)",-41.63499336473627,15.15436637620553,0.0
ML209066,american_toad,"(64, 431)",-46.328020181256214,16.574132218062477,0.0
ML209067,american_toad,"(64, 431)",-35.93968412854002,14.951788917099568,0.0
ML209068,american_toad,"(64, 431)",-49.349417375854436,16.50308758086667,0.0
ML209070,american_toad,"(64, 431)",-52.339484446148305,18.40056560820806,0.0
ML209074,american_toad,"(64, 431)",-53.91559547234301,19.169594825908835,0.0
ML209076,american_toad,"(64, 431)",-50.24058464155673,14.534438612567987,0.0
ML209080,american_toad,"(64, 431)",-47.92193119625481,14.811493383299226,0.0
ML209091,american_toad,"(64, 431)",-53.1760427350926,15.365321694094005,0.0
ML209092,american_toad,"(64, 431)",-49.93661707532517,16.23080111646781,0.0
ML209100,american_toad,"(64, 431)",-49.786805419247,16.617022490979714,0.0
ML209101,american_toad,"(64, 431)",-54.1406757500014,16.329552970792815,0.0
ML209103,american_toad,"(64, 431)",-51.25378324786361,14.621822398954276,0.0
ML209112,american_toad,"(64, 431)",-52.051855342397836,15.22444845481948,0.0
ML209116,american_toad,"(64, 431)",-49.014376307377404,11.276277818078716,0.0
ML209118,american_toad,"(64, 431)",-48.40886453945371,16.481313048941796,0.0
ML209120,american_toad,"(64, 431)",-50.0093052326734,12.221288696509692,0.0
ML209140,american_toad,"(64, 431)",-39.44813808542946,16.16806361048539,0.0
ML209142,american_toad,"(64, 431)",-47.83107252899566,19.54319569807632,0.0
ML209151,american_toad,"(64, 431)",-40.65399870425117,16.235780735868108,0.0
ML209152,american_toad,"(64, 431)",-46.63801710324885,17.41637466740701,0.0
ML209153,american_toad,"(64, 431)",-42.77042904378643,16.07938250287532,0.0
ML209154,american_toad,"(64, 431)",-41.283789734518166,16.15399206523116,0.0
ML209166,american_toad,"(64, 431)",-45.43792179548409,16.87029155471136,0.0
ML209170,american_toad,"(64, 431)",-40.922494645530826,15.856617570530782,0.0
ML219208,american_toad,"(64, 431)",-43.17533061357773,15.226919482151732,0.0
ML219215,american_toad,"(64, 431)",-50.13284687898413,16.464052999718263,0.0
ML237544,american_toad,"(64, 431)",-52.6625255026148,15.244017456032127,0.0
ML273036,american_toad,"(64, 431)",-54.635484324219334,12.023369983988806,0.0
ML273037,american_toad,"(64, 431)",-49.801063577184266,13.707515091060703,0.0
ML273038,american_toad,"(64, 431)",-57.794196182226635,16.686679824317416,0.0
ML273039,american_toad,"(64, 431)",-54.42922881819533,17.885905955428882,0.0
ML273971,american_toad,"(64, 431)",-52.59346444929005,15.485483352929894,0.0
ML273974,american_toad,"(64, 431)",-44.68734616172563,12.973588031207314,0.0
ML273975,american_toad,"(64, 431)",-44.98254544403741,9.25410798762577,0.0
ML38828,american_toad,"(64, 431)",-52.739845803158744,10.596033022620354,0.0
ML506564091,american_toad,"(64, 431)",-52.96358873320013,16.103174047206107,0.0
ML506564161,american_toad,"(64, 431)",-58.67987421144604,13.77673006558642,0.0
ML506565321,american_toad,"(64, 431)",-44.636200241381495,13.008240413009975,0.0
ML506565811,american_toad,"(64, 431)",-53.69408780239574,15.002442254720492,0.0
ML514691,american_toad,"(64, 431)",-52.26375798047834,17.88057135801244,0.0
ML53169,american_toad,"(64, 431)",-52.85334476932295,17.196573413977426,0.0
ML56794,american_toad,"(64, 431)",-42.937231705958354,15.785529933191947,0.0
ML56795,american_toad,"(64, 431)",-46.66276028849133,16.037263175215895,0.0
ML56797,american_toad,"(64, 431)",-45.073807125924084,16.593694323305616,0.0
ML584189271,american_toad,"(64, 431)",-49.806526840839474,14.269996827560082,0.0
ML634650572,american_toad,"(64, 431)",-29.623650055681193,7.734734913041384,0.0
ML635053182,american_toad,"(64, 431)",-40.551528304227546,15.031035059682033,0.0
ML635094764,american_toad,"(64, 431)",-34.47432023823573,9.380041184964238,0.0
ML635209201,american_toad,"(64, 431)",-30.50334219105559,7.851322642003817,0.0
ML635423490,american_toad,"(64, 431)",-42.84060652312021,14.073382682325201,0.0
ML635641399,american_toad,"(64, 431)",-46.980230268479914,21.17029514884843,0.0
ML635712665,american_toad,"(64, 431)",-34.045513864718984,6.795198073480759,0.0
ML635712903,american_toad,"(64, 431)",-43.64550926057479,9.962342694885798,0.0
ML635712911,american_toad,"(64, 431)",-47.06290361395845,13.112477300904501,0.0
ML635754925,american_toad,"(64, 431)",-33.32241874916821,7.245334550117477,0.0
ML635787545,american_toad,"(64, 431)",-77.20478487709697,10.739466116917104,0.0
ML635787546,american_toad,"(64, 431)",-32.64362241880938,7.528349253071507,0.0
ML635787547,american_toad,"(64, 431)",-41.146835142526164,12.712232997605572,0.0
ML635787548,american_toad,"(64, 431)",-41.630250284469874,7.6755956444722075,0.0
ML636142346,american_toad,"(64, 431)",-26.89925950278124,9.392835122911615,0.0
ML637108886,american_toad,"(64, 431)",-22.5967633472345,5.001921673921299,0.0
ML638292541,american_toad,"(64, 431)",-71.03578837340365,17.61248804482409,0.0
ML640268187,american_toad,"(64, 431)",-31.12028250582257,7.027041887907414,0.0
ML82093,american_toad,"(64, 431)",-44.02249051716931,14.810805987169788,0.0
Toad_calling,american_toad,"(64, 431)",-46.203608325006236,9.549621473477442,0.0
XC1013538_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-39.38603958705323,9.910843933791153,0.0
XC1020096_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-43.540976730583715,14.28111306007483,0.0
XC1020097_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-40.874871857619894,11.969504297818778,0.0
XC1020098_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-55.53119967227884,15.435759507691328,0.0
XC1020099_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-41.410866026327945,10.81361236914686,0.0
XC1022178_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-55.64982752996365,25.455940346211822,0.0
XC137035_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-39.417949029782534,12.118615512140991,0.0
XC883842_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-36.87640417185709,11.999878253719121,0.0
XC890996_-_American_Toad_-_Anaxyrus_americanus_charlesmithi,american_toad,"(64, 431)",-55.8781347353262,16.698633735947617,0.0
XC896065_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-44.3722292104965,11.9461682529615,0.0
XC896066_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-52.423956858275105,11.294923033649354,0.0
XC896067_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-48.6404737522804,12.181095234333167,0.0
XC896068_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-42.53794552755743,9.685086178725701,0.0
XC896069_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-44.81133573714929,11.50438398758889,0.0
XC961814_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-39.05340840876656,9.893877699456445,0.0
XC961816_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-43.921862581697255,11.705653361902941,0.0
XC981003_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-35.92807087972933,8.867957122719956,0.0
XC981066_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-54.99544545078084,15.848659000920497,0.0
XC991514_-_American_Toad_-_Anaxyrus_americanus,american_toad,"(64, 431)",-30.656400042730805,6.876437944788905,0.0
240136,bird_voiced_tree_frog,"(64, 431)",-57.36558037484605,19.10119865890993,0.0
Bird-voiced_treefrog_(Hyla_avivoca),bird_voiced_tree_frog,"(64, 431)",-73.41721879388368,12.200565207810824,0.0
Bird-voiced_Treefrog___Hyla_avivoca,bird_voiced_tree_frog,"(64, 431)",-73.65195645139555,13.02156541470603,0.0
